Odcinki pilotażowe (wiosna 1999)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery[1];Reżyseria;Scenariusz
;;"funkcjonującej korporacji. Kobiety zatrudniają pozostałych członków rodziny jako pracowników etatowych. Oburzenie Ferdka nie ma granic, otrzymał on bowiem od żony tylko ""umowę śmieciową"".";;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
405;Zemsta społeczna;Marian Paździoch jest w fatalnym nastroju. Czuje się bowiem wykluczony z życia społecznego. Postanawia zwierzyć się Ferdynandowi. Wówczas ten dochodzi do wniosku, że również jest marginalizowany. Obaj zaczynają opracowywać plan zemsty na niewdzięcznym społeczeństwie.;28.11.2012;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 21 (wiosna 2013)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
406;Stan wyjątkowy;Marian Paździoch jest wstrząśnięty faktem, że ktoś regularnie zanieczyszcza mu wycieraczkę. Oskarża kolejno wszystkich mieszkańców piętra. Ferdek uświadamia mu, że nic nie dzieje się bez przyczyny i są widocznie jakieś powody takiego zachowania, skoro nie spotyka to ani Kiepskich, ani innych lokatorów.;06.03.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
407;Samotność w sieci;Halina kupuje laptop z promocyjnej oferty. Szybko poznaje tajniki nieznanego jej dotychczas Internetu. Zaczyna aktywnie działać na różnego rodzaju forach i blogach. Pewnego dnia trafia na obraźliwe komentarze skierowane pod adresem jej rodziny. Wspólnie z Ferdkiem postanawiają się zemścić na ich autorze.;13.03.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
408;Kanalia;W kamienicy rozchodzi się wieść, że u Paździochów będzie gościł Święty Obraz Wędrujący. Przed ich drzwiami zaczynają gromadzić się ludzie i składać hojne ofiary do skarbonki wystawionej przez Paździochów. Ferdek dochodzi do wniosku, że sąsiedzi nie są godni gościć obrazu - powinna to zrobić rodzina Kiepskich ze względu na liczne zasługi babki Rozalii.;20.03.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
409;Gorzelak, Kobielak i Majster Kurdzielak;Kamienica Kiepskich przechodzi remont elewacji. Ma zostać ocieplona styropianem. Dookoła domu zostaje postawione rusztowanie. Odtąd ekipa remontowa, pod kierownictwem majstra Kurdzielaka, zaczyna bezczelnie wtrącać się w prywatne życie mieszkańców. Na tym tle dochodzi do nieporozumień i konfliktów.;27.03.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
410;Złodziejka;W mieszkaniu Kiepskich znikają różne przedmioty. Pierwsze podejrzenia padają na Jolasię. Okazuje się że w kradzieże zamieszany jest także Waldek, Mariola, a nawet Halina. Wkrótce wychodzi na jaw, że i sam Ferdek zasługuje na miano złodzieja.;03.04.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
411;Gorzkie gody;Ferdek i Halina świętują 40-lecie pożycia małżeńskiego. Rocznica staje się okazją do podsumowania związku. Halina snuje wiele gorzkich refleksji. W efekcie małżonkowie dochodzą do wniosku, że najwyższy czas się rozejść, aby resztę życia przeżyć w spokoju.;10.04.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
412;Badurka;Ferdek i Halina chcą zrobić dobry uczynek. Postanawiają oddać biednym to, co mogłoby się zmarnować w domu. Osobą wspieraną ma być lokalny bezdomny - Kazimierz Badura. Paździochowie, za przykładem Kiepskich, przyłączają się do osiedlowej akcji dobroczynnej. Wkrótce pomiędzy obiema rodzinami rozpoczyna się konkurencja w liczbie dobrych uczynków.;17.04.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
413;Totto pronto;Paździoch otwiera w swoim mieszkaniu muzeum seksu. Ferdynand i Halina są wstrząśnięci i uważają pomysł sąsiada za niemoralny. Muzeum cieszy się jednak ogromnym zainteresowaniem i przed drzwiami Paździochów ustawiają się kolejki. Także Halina postanawia zaspokoić swoją ciekawość i dla poszerzenia horyzontów zwiedzić muzeum.;24.04.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
414;Dymy na wodzie;Pewnego wieczoru Halina odbiera telefon od tajemniczej kobiety, która przedstawia się jako dobra znajoma jej męża, Dzidka. Kiepska postanawia wyjaśnić tę sprawę. Okazuje się, że Dzidka była pierwszą miłością Ferdka. Na złość Halinie Kiepski postanawia spotkać się z dawną ukochaną. Kupuje motor i rusza na Pomorze w poszukiwaniu wspomnień sprzed lat.;01.05.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
415;Goście wieczerzy pańskiej;Ferdynand otrzymuje pocztą zaproszenie na kolację do księdza Pączka, miejscowego proboszcza. Jest niezwykle dumny z tego powodu. Zaczyna przypisywać sobie różne zasługi dla Kościoła, podkreślając jednocześnie swój wkład w działalność społeczno-charytatywną. Wkrótce okazuje się, że Kiepski nie jest jedynym zaproszonym przez duchownego gościem. Na kolacji mają zjawić się bowiem także Paździoch i Boczek. Obecność sąsiadów psuje humor Ferdynandowi.;08.05.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
416;Krótki film o męskości;Walduś ma urodziny. Halina kupuje mu w prezencie majtki w rozmiarze XXL. Skłania to Jolasię do żartów na temat jego przyrodzenia. Zawstydzony uwagami żony Waldemar ucieka.;15.05.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
417;Człowiek, który wzuł laczki;Jolasia spostrzega pierwsze oznaki starzenia się Waldka. Mężczyzna łysieje i niepokojąco przybiera na wadze. Za ten stan rzeczy obarcza winą jego ojca, Ferdynanda, po którym jej mąż odziedziczył wiele nieatrakcyjnych cech. Ze wsparciem i poradą Paździochowej kobiety postanawiają radykalnie zapobiec procesowi dziadzienia mężów.;22.05.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
418;Sexi Flexi;W kamienicy zostaje zdemolowana toaleta w korytarzu. Paździoch wszczyna śledztwo w celu odnalezienia sprawcy. W toku dochodzenia pojawiają się poszlaki, które wskazują, że sprawcą może być pewna gwiazda telewizyjna, która dokonała aktu wandalizmu pod wpływem chwilowej frustracji.;29.05.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 22 (jesień 2013)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
419;Ferdydurka;Jolasia niepokoi się, że Waldek coraz częściej pije alkohol. Grożąc rozwodem, wprowadza zakaz spożywania napojów wyskokowych. W tej sytuacji Ferdek Kiepski postanawia nauczyć syna kilku sprawdzonych sztuczek, które pozwolą Waldkowi spożywać alkohol, unikając nieprzyjemności ze strony żony.;04.09.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
420;Podgrabek;Ferdek Kiepski znajduje pracę po wielu latach bezrobocia. Nareszcie czuje, że żyje, pomimo iż to brudna robota na cmentarzu. Jest bardzo zadowolony z nowego zajęcia i chętnie dzieli się z domownikami i sąsiadami wrażeniami z pracy, które dotyczą głównie zgonów i pogrzebów. Sąsiedzi i rodzina nie podzielają jego zainteresowań zawodowych i wyraźnie zaczynają go unikać.;11.09.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
421;Pokuć;Ferdynand dowiaduje się, że Jolasia należy do tajemniczej sekty. Zaczyna prowadzić śledztwo w tajemnicy przed Waldusiem. Z przerażeniem stwierdza, że coraz więcej osób może być zamieszanych w organizację Kopciarzy z Pokucia.;18.09.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
422;Mała matura;Arnold Boczek jest wyśmiewany przez mieszkańców kamienicy. Dochodzi do wniosku, że gdyby miał wyższe wykształcenie, byłby inaczej traktowany. Postanawia zdać maturę. Wszyscy krytykują jego pomysł, lecz, ku zaskoczeniu, zdaje on egzamin. Teraz może zemścić się na innych. W kamienicy dochodzi do ogromnego konfliktu.;25.09.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
423;Easy Rajder;Halina ma dość poruszania się komunikacją miejską. Postanawia zdać egzamin na prawo jazdy. Ferdek, człowiek który nie posiada tego dokumentu, uważa, że samochody nie są dla kobiet. Halina zdaje i bez wiedzy męża kupuje okazjonalnie używany samochód. Staje się zagrożeniem dla mieszkańców osiedla i całego miasta.;02.10.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
424;Warszawa;Jolasia z Waldkiem biorą udział w konkursie tańca, lecz go przegrywają. Pupcia nadal twierdzi, że potrafi tańczyć. Chce wyjechać do Warszawy i wkręcić się w świat show-biznesu. Ferdek cieszy się z planów synowej, Waldek wpada w stan nerwowo-lękowy, a reszta rodziny i sąsiadów postanawia powstrzymać dziewczynę od wyjazdu.;09.10.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
425;Fakty i mity;Paździoch postanawia walczyć z chuligaństwem i upadkiem moralnym na osiedlu. Na samym początku zamierza wyeksmitować Arnolda Boczka, ponieważ uznaje go za główną przyczynę bałaganu panującego w kamienicy. W związku ze swoimi planami Marian proponuje Ferdkowi, aby połączyli siły i wspólnie utworzyli komitet obywatelski.;16.10.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
426;Piętnaście minut;Waldkowi i Jolasi grozi eksmisja z powodu dużej ilości kredytów. Okazuje się też, że rodzice będą prawdopodobnie zmuszeni spłacić dług za nich. Z pomocą Kiepskim przychodzi Paździoch, który składa im ofertę wystąpienia w filmie pornograficznym. Ferdek i Halina są wstrząśnięci niemoralną propozycją.;23.10.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
427;Sekrety i kłamstwa;Prezes Kozłowski wyjeżdża na wakacje. Prosi Ferdka, aby w jego imieniu oddał jednemu z sąsiadów pożyczoną przez niego wiertarkę. Ferdek zastawia ją w lombardzie, a uzyskane pieniądze wydaje na alkohol. Halina jest oburzona jego postępowaniem. Chcąc załagodzić sytuację, Kiepski wymyśla szereg nieprawdziwych zdarzeń, które zaczynają go pogrążać. Wkrótce wpada w spiralę kłamstw.;30.10.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
428;Dzień szakala;Halina i Ferdek są zaniepokojeni faktem, że Waldek, Jolasia i Mariola wciąż pozostają na ich utrzymaniu i nie mają żadnych pomysłów na samodzielne życie. Małżonkowie postanawiają zmobilizować dzieci do zdobycia konkretnego zawodu i źródła utrzymania.;06.11.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
429;Bomboni;Po osiedlu zaczynają krążyć plotki, że Ferdynand Kiepski pije alkohol i stacza się w zastraszającym tempie. Ferdek jest tym oburzony. Postanawia ustalić, kto i dlaczego rozsiewa tak skandalicznie krzywdzące informacje na jego temat.;13.11.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
430;Con Amore;Ferdynand niepokoi się o swoją córkę, Mariolę. Uważa, że w jej wieku powinna mieć męża. Kiepska nie chce o tym mówić. Ojciec pragnie mieć zięcia, nawet takiego, który nie kochałby Marioli. Proponuje jej Stasia, właściciela sklepu, w którym zaopatruje się w alkohol.;20.11.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
431;Królowa balu;Mariola poznaje bardzo sympatycznego Włocha, który zaprasza ją na wielki bal sylwestrowy. Jolasia jest wściekła i zazdrosna. Żona Waldka robi wszystko, żeby wyeliminować jego siostrę i zamiast niej pójść na wymarzony bal.;31.12.2013;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 23 (wiosna 2014)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
432;Kożuchowska;Waldek nałogowo bierze udział w różnego rodzaju konkursach. Pewnego dnia wygrywa nagrodę w postaci Kolacji z Małgorzatą Kożuchowską. Waldek jest szczęśliwy, a cała rodzina - z niego dumna. Wyjątek stanowi jego żona Jolasia, która uważa, że Waldemar nie jest godzien takiego zaszczytu.;05.03.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
433;Żarty żarciki;Ferdek w przypływie dobrego humoru płata różne figle domownikom i sąsiadom. Niestety, nie znajdują one uznania w ich oczach. Ferdek z przykrością stwierdza, że Polacy kompletnie stracili poczucie humoru. Tylko Prezes Kozłowski potrafi docenić jego humor i inwencję twórczą.;12.03.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
434;Fikcyjne pulpety;Helena i Marian Paździochowie biorą udział w telewizyjnym konkursie kulinarnym. Ferdek oznajmia Halinie, że ona również potrafi świetnie gotować i na pewno pobiłaby popisy Paździochów, zyskując przy tym sławę i pieniądze. Halina podejmuje wyzwanie. Paździochowie chwalą się, że ich specjalnością jest wykwintna kuchnia śródziemnomorska. Halina natomiast postanawia postawić na tradycyjną kuchnię śląską.;19.03.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
435;Zagraniczniak;Pewnej nocy Ferdek nie może zasnąć. Zastanawia się, jak potoczyłoby się jego życie, gdyby urodził się nie w Polsce, lecz w innym kraju. Ferdek zwierza się ze swych rozterek Paździochowi. Paździoch przyznaje Ferdkowi, że od lat nurtuje go ten sam problem. A co więcej, jego prywatnym hobby jest wcielanie się w obywateli różnych narodowości. Ferdynand spełni jednak swoje marzenie, zostanie Amerykaninem.;26.03.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
436;Nacopoco;Ferdka zaczyna nurtować egzystencjalny problem - w jakim właściwie celu istnieje on i cały Świat... Kiepski zaczyna zadręczać otoczenie swoimi wątpliwościami. Niestety, nikt nie jest w stanie udzielić mu zadowalającej odpowiedzi. Ferdek postanawia więc skorzystać z porady zawodowego filozofa.;02.04.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
437;Sceny z życia małżeńskiego;Ten odcinek stanowi studium psychologiczno-obyczajowe związków małżeńskich. Prozaiczne sytuacje z życia małżeństw Ferdka z Halinką, Waldka z Jolasią, Paździocha z Paździochową oraz Państwa Kozłowskich stanowią przykłady wzlotów i upadków, na jakie narażone jest dwoje ludzi w wieloletnim związku małżeńskim.;09.04.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
438;Wiem co jem;Boczek oferuje sąsiadom naturalne produkty spożywcze, reklamując je jako pochodzące prosto ze wsi i produkowane bez chemicznych dodatków i konserwantów. Wszyscy sąsiedzi stają się entuzjastami ekologicznego stylu żywienia. Tylko Ferdek pozostaje nieufny wobec rzeczywistego źródła pochodzenia pokarmów, sprzedawanych przez Boczka. Postanawia wszcząć prywatne śledztwo w tej sprawie.;16.04.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
439;Lśnienie;Mieszkańców osiedla Kosmonautów elektryzuje wiadomość o tym, że znany wszystkim dyżurny pijak, Kazimierz Badura przestał nagle pić. Ferdek uważa to za niemożliwe. Halinka i sąsiedzi przekonują go jednak, iż stało się to za sprawą Łaski Bożej. Zainspirowani nagłą przemianą Badury również i inni mieszkańcy osiedla zaczynają porzucać zgubne nałogi.;23.04.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
440;Kopakabana;Halina oznajmia Ferdkowi, że zamierza sprzedać ich mieszkanie, a za uzyskane pieniądze wreszcie „użyć życia”. Ferdek nie ma nic przeciwko temu. Ale, gdy kolejni klienci, m.in. również Kulturalny Mężczyzna, oglądają mieszkanie, okazuje się, że żaden z kandydatów nie wydaje się godny, aby zostać właścicielem jego posiadłości.;30.04.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
441;Szpital przemienienia;Ferdek coraz częściej narzeka na zdrowie i złe samopoczucie. Pewnego dnia odmawia w ogóle wstania z łóżka. Żona stwierdza, że w takim razie powinien udać się do szpitala. Ferdek odmawia, narzekając na państwową służbę zdrowia. Proponuje, aby Halinka jako profesjonalna pielęgniarka leczyła go w domu. Okazuje się, że prywatną kliniką w domu państwa Kiepskich jest zainteresowanych również wielu innych sąsiadów.;07.05.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
442;Ludzie bezdomni;Jolasia i Waldek wpadają w spiralę długów kredytowych. Halina, chcąc pomóc dzieciom, sprzedaje mieszkanie. Rodzina Kiepskich staje się bezdomna. Okazuje się, że w identycznej sytuacji znajdują się również Paździochowie, Boczek, a nawet uchodzący za bardzo zamożnego i świetnie prosperującego - Prezes Kozłowski. Wszyscy lądują na ulicy. Nieoczekiwanie z pomocą przychodzi im doświadczony od lat w bezdomności, Kazimierz Badura.;14.05.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
443;Gatunek;Smaczną kolację przed telewizorem u Państwa Kiepskich zakłóca alarmujący komunikat o niespodziewanym lądowaniu statku kosmicznego obcej cywilizacji pozaziemskiej. Wszyscy sąsiedzi zastanawiają się, co można zrobić i jak się zachować w tej kryzysowej sytuacji. Pomysły czerpią z oglądanych na przestrzeni lat filmów science fiction o podobnej tematyce.;21.05.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
444;Poza prawem;W wyniku nieszczęśliwego zbiegu okoliczności Kiepski zostaje oskarżony o publiczne zanieczyszczanie terenu parku miejskiego. Za wykroczenie zostaje ukarany mandatem w wysokości 200 złotych. Mimo to, z uporem twierdzi, że jest niewinny i nie zamierza płacić grzywny. Wkrótce - przez złośliwy los - ponownie wchodzi w konflikt z prawem. Teraz grozi mu kara pozbawienia wolności. Kiepski, jako stateczny mąż i ojciec rodziny, jest oburzony. Tymczasem Halina przyklaskuje pomysłowi. Uważa, że kilkumiesięczna nieobecność jej męża w domu wpłynęłaby korzystnie na budżet rodziny.;28.05.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 24 (jesień 2014)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
445;Poltergeist;Halinie śnią jej się byli lokatorzy mieszkania, w którym obecnie mieszka rodzina Kiepskich. Nocne mary naprowadzają ją na ślad tajemniczej zbrodni sprzed lat. Kiepska rozpoczyna prywatne śledztwo.;03.09.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
446;Głupi Piotruś;Pewnej nocy w mieszkaniu Kiepskich pojawia się tajemniczy gość, który przedstawia się jako redaktor z telewizji. Proponuje Kiepskim udział w programie rozrywkowym. Ferdek i jego rodzina zgadzają się i zaczynają marzyć o karierze w mediach. Arnold Boczek natomiast twierdzi, że człowiek, który ich odwiedził, to osoba niespełna rozumu, znana pod pseudonimem Głupi Piotruś.;10.09.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
447;Taka piosenka;Pewnego razu Ferdek słyszy dobiegający z mieszkania Paździochów romantyczny śpiew Heleny i Mariana. Paździochowie śpiewem wyznają sobie miłość. Ferdek i Halina są tym bardzo zdziwieni, ponieważ na co dzień Paździochowie są dla siebie niemili, okazują sobie wrogość, a wręcz nienawiść. Kiepscy usiłują rozwikłać muzyczną zagadkę.;17.09.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
448;Okazja;Halina Kiepska otrzymuje od wdzięcznego pacjenta prezent w postaci 20 litrowej butelki wódki. Ferdek jest tym bardzo wzruszony. Niestety, Halina twardo oświadcza, że alkohol ten może zostać spożyty jedynie przy wyjątkowej okazji. Ferdek jest zdesperowany i zastanawia się, jakie wydarzenie mogłoby stać się taką wyjątkową okazją.;24.09.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
449;Brutal;Marian Paździoch kupuje obronnego dużego psa, którego obsesyjnie tresuje na podwórku. Ferdek jest tym oburzony i uważa, że pies zanieczyszcza okoliczne trawniki i chodniki. Między sąsiadami wybucha konflikt.;01.10.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
450;Urodzeni mordercy;Arnold Boczek cierpi na depresję. Jest sfrustrowany i dochodzi do wniosku, że stać go w życiu na więcej, niż to co udało mu się osiągnąć do tej pory. Postanawia powołać do życia szereg śmiałych projektów, nie zawsze zgodnych z prawem, które zapewnią mu prosperitę. Namawia gorąco Ferdka, aby łącząc siły wspólnie osiągnęli życiowy sukces.;08.10.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
451;Pali się moja panno;W mieszkaniu Paździochów wybucha pożar. Ferdek, nie czekając na straż pożarną, sam podejmuje akcję gaśniczą. Staje się bohaterem kamienicy, a nawet całego osiedla. Zaczyna rozważać możliwość powołania oddziału ochotniczej sąsiedzkiej straży pożarnej, na której czele zamierza stanąć. Oświadcza Halinie, że tak naprawdę od dziecka marzył, aby zostać strażakiem.;15.10.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
452;Świece na wietrze;Marian Paździoch, próbując przepłoszyć gołębie zanieczyszczające mu uporczywie parapet, niechcący wypada z okna. Na skutek szoku powypadkowego dochodzi do wniosku, że jego dotychczasowe życie było bezbarwne i nudne. Postanawia bezzwłocznie nadrobić stracony czas.;22.10.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
453;Klimakterium;Ferdek zauważa, że Halina od pewnego czasu stała się wobec niego wyjątkowo wroga i zgryźliwa. Po kolejnej awanturze Ferdek zwierza się ze swoich problemów Paździochowi. Paździoch uświadamia Ferdkowi, że Halina przechodzi zwyczajne klimakterium, a to jest proces, który trwa jakiś czas, ale potem na szczęście mija.;29.10.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
454;Jubel;Zupełnie nieoczekiwanie okazuje się, że Halina Kiepska i Helena Paździochowa tego samego dnia wyjeżdżają w ważnych sprawach do Warszawy. Ferdek i Paździoch zostają pouczeni przez żony, że podczas ich nieobecności ma w domu panować spokój, ład i porządek. Mężczyźni składają obietnicę, że zastosują się do wskazówek swoich żon. Na skutek nieprzewidzianych okoliczności sytuacja, niestety, wymyka się im spod kontroli.;05.11.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
455;Bolero;Mieszkańcy kamienicy Ćwiartki 3 dochodzą do wniosku, że najwyższy czas, aby w budynku została zainstalowana winda. Okazuje się, że będzie to możliwe tylko wtedy, gdy zostanie zlikwidowana wspólna toaleta, znajdująca się na korytarzu. Wspólnota mieszkaniowa decyduje o wybudowaniu nowej luksusowej toalety w piwnicy. Niestety, z toalety zaczynają korzystać osoby do tego nieuprawnione. Paździoch wnioskuje o powołanie obywatelskich dyżurów w toalecie.;12.11.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
456;Kobieta za ladą;Mieszkańcy osiedla dochodzą do wniosku, że zachowanie ekspedientki ze sklepu u Stasia stało się skandaliczne. Malinowska obraża i poniża klientów, ubliża im. Oburzony Ferdek postanawia napisać petycję w celu odwołania jej ze stanowiska. Niestety, nie wszyscy mieszkańcy osiedla podzielają jego zdanie.;19.11.2014;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
;;;;;
Sezon 25 (wiosna 2015)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
457;Ja to załatwię;Prezes Kozłowski - Przewodniczący Rady Osiedla, na którym mieszkają Kiepscy wyznaje zasadę, że dla niego nie ma sprawy nie do załatwienia. Potrafi załatwić wszystkim wszystko. Mieszkańcy osiedla przyzwyczajają się do jego roli jako osoby niezawodnej. Kozłowski stopniowo zaczyna uginać się pod ciężarem ich coraz większych oczekiwań.;04.03.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
458;Baba Jaga;Ferdynand Kiepski jest zaniepokojony zachowaniem swojej żony Haliny. Zaczyna podejrzewać, że stała się wiedźmą, praktykującą czarną magię. Okazuje się, że Marian Paździoch ma podobne podejrzenia wobec własnej żony...;11.03.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
459;Szalona lokomotywa;Prezes Kozłowski oznajmia mieszkańcom kamienicy, że budynek należy do kolei państwowych i w tym miejscu zostanie wybudowany nowoczesny dworzec kolejowy. Przedstawia lokatorom propozycje przeprowadzenia się do lokali zastępczych. Mieszkańcy protestują i podejmują obywatelski protest w obronie własnego terytorium.;18.03.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
460;Magiel;Kazimierz Badura oferuje Ferdkowi okazyjny zakup starego magla ze złomowiska. Kiepski przekonuje Halinę, że magiel może stać się dla nich szansą na rozkręcenie intratnego biznesu rodzinnego.;25.03.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
461;Żegnaj laleczko;Waldemar podejrzewa żonę o zdradę. Poszukuje prywatnego detektywa, który przeprowadziłby śledztwo i dostarczył niezbitych dowodów, które on będzie mógł przedstawić w sądzie podczas sprawy rozwodowej.;01.04.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
462;Dom zły;Mieszkańcom kamienicy często zdarzają się niewytłumaczalne wypadki. Okazuje się, że w przeszłości znajdował się w niej dom wariatów i być może ma to jakiś związek z bieżącymi wydarzeniami.;08.04.2015;Patrick Yoka;Aleksander Sobiszewski
;;;;;Patrick Yoka
;;;;;Katarzyna Sobiszewska
